just_date,Popularity,Sentiment,date
2018-03-27,111245,-0.366378081978783,2018-03-27
2018-03-28,33514,-0.31881098269771657,2018-03-28
2018-03-29,127201,-0.12013146645146393,2018-03-29
2018-03-30,74154,-0.24457467101491695,2018-03-30
2018-03-31,22291,-0.09749034749034748,2018-03-31
2018-04-01,127953,-0.09663378749683874,2018-04-01
2018-04-02,17340,-0.16119691119691118,2018-04-02
2018-04-03,24203,-0.1544401544401544,2018-04-03
2018-04-04,77894,-0.305320067673394,2018-04-04
2018-04-05,139458,-0.2725432591736425,2018-04-05
2018-04-06,34127,-0.29599951034592226,2018-04-06
2018-04-07,62977,-0.36354341350212854,2018-04-07
2018-04-08,29033,0.13416988416988418,2018-04-08
2018-04-09,202582,0.08149811988998093,2018-04-09
2018-04-10,14314,-0.006756756756756743,2018-04-10
2018-04-11,98178,-0.1632734031820385,2018-04-11
2018-04-12,83459,-0.33518865134388925,2018-04-12
2018-04-13,38424,-0.6371875494884551,2018-04-13
2018-04-15,158595,-0.06219002507662301,2018-04-15
2018-04-16,25077,-0.044802202267210024,2018-04-16
2018-04-17,116566,-0.1840036916796006,2018-04-17
2018-04-19,32848,-0.34516819721398384,2018-04-19
2018-04-20,119586,-0.2850656273151381,2018-04-20
2018-04-21,24960,-0.1824324324324324,2018-04-21
2018-04-22,32480,-0.3503861003861003,2018-04-22
2018-04-23,30259,-0.09286346536420893,2018-04-23
2018-04-24,133630,-0.08925481296393517,2018-04-24
2018-04-25,34699,-0.292870033640661,2018-04-25
2018-04-26,108124,-0.2346615493950961,2018-04-26
2018-04-27,134588,-0.14364496114726447,2018-04-27
2018-04-28,70089,-0.06535127345810907,2018-04-28
2018-04-29,29735,0.09169884169884168,2018-04-29
2018-04-30,21354,-0.2664092664092664,2018-04-30
2018-05-01,46281,-0.09407529328771307,2018-05-01
2018-05-02,28805,0.011075639082929498,2018-05-02
2018-05-04,63198,-0.1870267905941503,2018-05-04
2018-05-05,25851,-0.2731660231660231,2018-05-05
2018-05-07,98349,-0.005810663788884196,2018-05-07
2018-05-08,46282,-0.4097157905063786,2018-05-08
2018-05-09,42469,-0.3927162724461931,2018-05-09
2018-05-10,16821,-0.2944015444015444,2018-05-10
2018-05-11,20947,-0.23166023166023164,2018-05-11
2018-05-12,20265,0.7828185328185326,2018-05-12
2018-05-13,33638,-0.5743243243243242,2018-05-13
2018-05-14,64719,-0.3049580064598838,2018-05-14
2018-05-15,39783,-0.2948363841018995,2018-05-15
2018-05-16,40450,-0.40365043835995623,2018-05-16
2018-05-17,49664,-0.14939194475679654,2018-05-17
2018-05-18,53686,-0.2061999799491883,2018-05-18
2018-05-19,56175,-0.19786959188828346,2018-05-19
2018-05-20,14006,-0.3629343629343629,2018-05-20
2018-05-22,145742,-0.14600837180464193,2018-05-22
2018-05-23,57073,-0.3276220720371194,2018-05-23
2018-05-25,134087,-0.15858379333212835,2018-05-25
2018-05-27,74966,-0.33901386646631154,2018-05-27
